사용단어	가중치	사용횟수	단어승률
각등	7	20	0.35
각띠	12	20	0.6
각락언	8	20	0.4
각래	6	20	0.3
각려	6	20	0.3
각력	11	20	0.55
각력암	3	20	0.15
각렬	10	20	0.5
각령	8	20	0.4
각로	8	20	0.4
각론	7	20	0.35
각론학	8	20	0.4
각료	7	20	0.35
각료회의	6	20	0.3
각류	9	20	0.45
각류반좌	8	20	0.4
각릉암	11	20	0.55
각린	14	20	0.7
각립	11	20	0.55
각립대좌	10	20	0.5
각립독행	12	20	0.6
각마	10	20	0.5
각막	7	20	0.35
각막계	13	20	0.65
각막염	5	20	0.25
각막은행	8	20	0.4
각메기	7	20	0.35
각면	10	20	0.5
각면병	7	20	0.35
각면보	13	20	0.65
각명	8	20	0.4
각명하	7	20	0.35
각모	7	20	0.35
각목	13	20	0.65
각물	8	20	0.4
각박성가	8	20	0.4
각반	11	20	0.55
각반병	8	20	0.4
각반출구	8	20	0.4
각발	9	20	0.45
각방	9	20	0.45
각방거처	9	20	0.45
각방서리	9	20	0.45
각방자리	5	20	0.25
각방치장풀이	6	20	0.3
각배	11	20	0.55
각배율	5	20	0.25
각벌	11	20	0.55
각법	12	20	0.6
각변형	5	20	0.25
각별	11	20	0.55
각보	6	20	0.3
각본	7	20	0.35
각본가	6	20	0.3
각봉	7	20	0.35
각봉투	9	20	0.45
각부	12	20	0.6
각분	9	20	0.45
각블록	8	20	0.4
각비	8	20	0.4
각뿔	7	20	0.35
각뿔대	10	20	0.5
각사	9	20	0.45
각사탕	6	20	0.3
각삭	5	20	0.25
각산분립	5	20	0.25
각산진비	7	20	0.35
각산호목	5	20	0.25
각살림	8	20	0.4
각살이	8	20	0.4
각삼	2	20	0.1
각삽	10	20	0.5
각상	6	20	0.3
각색	6	20	0.3
각색가	10	20	0.5
각색각양	4	20	0.2
각생	6	20	0.3
각생약	8	20	0.4
각서	7	20	0.35
각서어	7	20	0.35
각선	4	20	0.2
각선구검	2	20	0.1
각선문	8	20	0.4
각선미	6	20	0.3
각설	10	20	0.5
각설이	6	20	0.3
각설이패	8	20	0.4
각설탕	9	20	0.45
각섬석	9	20	0.45
각섬석암	12	20	0.6
각섬석화강암	5	20	0.25
각섬암	7	20	0.35
각성	6	20	0.3
각성기	6	20	0.3
각성바지	5	20	0.25
각성제	7	20	0.35
각세공	11	20	0.55
각세진경	7	20	0.35
각소	10	20	0.5
각속도	8	20	0.4
각손	3	20	0.15
각수	5	20	0.25
각수렴	7	20	0.35
각수장	8	20	0.4
각수장이	8	20	0.4
각수정	8	20	0.4
각숙	8	20	0.4
각순	10	20	0.5
각승	10	20	0.5
각시	7	20	0.35
각시가자미	10	20	0.5
각시계	7	20	0.35
각시고광나무	6	20	0.3
각시고둥	8	20	0.4
각시고사리	7	20	0.35
각시광대	10	20	0.5
각시괴불나무	9	20	0.45
각시귀신	10	20	0.5
각시그령	7	20	0.35
각시꽃게거미	9	20	0.45
각시노리	8	20	0.4
각시놀음	7	20	0.35
각시놀이	11	20	0.55
각시도령	6	20	0.3
각시도미	7	20	0.35
각시돔	8	20	0.4
각시둥굴레	10	20	0.5
각시마	8	20	0.4
각시메뚜기	3	20	0.15
각시멧노랑나비	9	20	0.45
각시물자라	7	20	0.35
각시미꾸리광이	9	20	0.45
각시바꽃	8	20	0.4
각시방	8	20	0.4
각시붓꽃	9	20	0.45
각시붕어	9	20	0.45
각시서대	8	20	0.4
각시서덜취	6	20	0.3
각시서실	5	20	0.25
각시석남	6	20	0.3
각시수련	9	20	0.45
각시실노린재	14	20	0.7
각시씨	6	20	0.3
각시염낭거미	5	20	0.25
각시원추리	7	20	0.35
각시제비꽃	9	20	0.45
각시조	10	20	0.5
각시차	9	20	0.45
각시춤	8	20	0.4
각시취	12	20	0.6
각시통점나도나물	7	20	0.35
각시투구꽃	8	20	0.4
각시패랭이꽃	6	20	0.3
각시풀	5	20	0.25
각시해바라기	8	20	0.4
각신	6	20	0.3
각신동격교	11	20	0.55
각심	9	20	0.45
각심소원	2	20	0.1
각심소위	9	20	0.45
각심이	5	20	0.25
각심통	5	20	0.25
각아비자식	6	20	0.3
각양	11	20	0.55
각양각색	8	20	0.4
각양각식	9	20	0.45
각양각태	12	20	0.6
각역	7	20	0.35
각연	6	20	0.3
각연증	9	20	0.45
각연초	6	20	0.3
각오	9	20	0.45
각왕	4	20	0.2
각외	4	20	0.2
각외상	6	20	0.3
각우	11	20	0.55
각운동	7	20	0.35
각운동량	10	20	0.5
각원	11	20	0.55
각위	6	20	0.3
각유소장	7	20	0.35
각유일능	9	20	0.45
각은광	7	20	0.35
각은석	10	20	0.5
각응	8	20	0.4
각의	6	20	0.3
각이	10	20	0.5
각인	7	20	0.35
각인각색	9	20	0.45
각인각설	7	20	0.35
각인각성	7	20	0.35
각인각양	8	20	0.4
각인각자	11	20	0.55
각인별	5	20	0.25
각인처	5	20	0.25
각일	4	20	0.2
각일각	8	20	0.4
각자	9	20	0.45
각자갈	10	20	0.5
각자갈암	3	20	0.15
각자도생	8	20	0.4
각자무치	9	20	0.45
각자수세지	9	20	0.45
각자위심	10	20	0.5
각자장	11	20	0.55
각잠	5	20	0.25
각장장판	10	20	0.5
각장지	9	20	0.45
각재	2	20	0.1
각재류	7	20	0.35
각재목	6	20	0.3
각적	10	20	0.5
각전	9	20	0.45
각전궁	8	20	0.4
각정	10	20	0.5
각제	10	20	0.5
각조	5	20	0.25
각족	8	20	0.4
각존	10	20	0.5
각종	7	20	0.35
각좆	20	20	1
각주	13	20	0.65
각주구검	6	20	0.3
각주시험체	9	20	0.45
각주키	6	20	0.3
각주파수	7	20	0.35
각죽	6	20	0.3
각준	9	20	0.45
각줄	8	20	0.4
각지	8	20	0.4
각지각처	6	20	0.3
각지기	10	20	0.5
각지불공	8	20	0.4
각지불이	11	20	0.55
각지붕	10	20	0.5
각직	10	20	0.5
각진동수	7	20	0.35
각진면	7	20	0.35
각질	7	20	0.35
각질장	10	20	0.5
각질판	8	20	0.4
각질화	6	20	0.3
각찬	11	20	0.55
각찰	10	20	0.5
각창	9	20	0.45
각책	5	20	0.25
각처	7	20	0.35
각천	8	20	0.4
각철장	8	20	0.4
각첨	8	20	0.4
각체	11	20	0.55
각초	11	20	0.55
각촉부시	8	20	0.4
각추	10	20	0.5
각추대	8	20	0.4
각추렴	11	20	0.55
각축	9	20	0.45
각축장	9	20	0.45
각축전	8	20	0.4
각출	11	20	0.55
각취	10	20	0.5
각측량	11	20	0.55
각층	10	20	0.5
각칙	5	20	0.25
각침	4	20	0.2
각타	8	20	0.4
각탄	7	20	0.35
각테	8	20	0.4
각통	10	20	0.5
각통질	8	20	0.4
각퇴	5	20	0.25
각투	9	20	0.45
각파	8	20	0.4
각패	12	20	0.6
각페차	6	20	0.3
각포사의	10	20	0.5
각포자	9	20	0.45
각피	9	20	0.45
각피소	5	20	0.25
각하	9	20	0.45
각하성	13	20	0.65
각한	11	20	0.55
각항	5	20	0.25
각해	10	20	0.5
각행	9	20	0.45
각향	8	20	0.4
각향낭	8	20	0.4
각향노리개	6	20	0.3
각혈	7	20	0.35
각혈암	9	20	0.45
각형	8	20	0.4
각형목나사	6	20	0.3
각호	8	20	0.4
각혼	7	20	0.35
각화	7	20	0.35
각화문기	13	20	0.65
각화종	11	20	0.55
각화증	8	20	0.4
각화층	9	20	0.45
각환	7	20	0.35
각황	11	20	0.55
각황사	10	20	0.5
각희	8	20	0.4
간가	9	20	0.45
간가결구	10	20	0.5
간가세	9	20	0.45
간각	8	20	0.4
간각궁	6	20	0.3
간간발송	9	20	0.45
간감	5	20	0.25
간객	10	20	0.5
간거리	9	20	0.45
간거리장사	5	20	0.25
간거리장수	8	20	0.4
간걸	5	20	0.25
간검	7	20	0.35
간격	7	20	0.35
간격구	6	20	0.3
간격범	9	20	0.45
간격손실	7	20	0.35
간견기	6	20	0.3
간결	7	20	0.35
간결미	5	20	0.25
간결성	10	20	0.5
간결체	10	20	0.5
간경	9	20	0.45
간경변증	8	20	0.4
간경풍	4	20	0.2
간계	9	20	0.45
간고	8	20	0.4
간고분투	6	20	0.3
간고성	9	20	0.45
간곡	10	20	0.5
간곡선	7	20	0.35
간곤신근	8	20	0.4
간과	3	20	0.15
간과자	6	20	0.3
간관	8	20	0.4
간관유리	12	20	0.6
간괘	7	20	0.35
간교	9	20	0.45
간교성	12	20	0.6
간구	13	20	0.65
간국	4	20	0.2
간굴	10	20	0.5
간권	11	20	0.55
간궐	9	20	0.45
간균	5	20	0.25
간그릇	20	20	1
간극	6	20	0.3
간극감합	7	20	0.35
간극률	6	20	0.3
간극수	13	20	0.65
간근	8	20	0.4
간급	7	20	0.35
간기	9	20	0.45
간기술	5	20	0.25
간기울결	10	20	0.5
간기인물	7	20	0.35
간나위	9	20	0.45
간난	11	20	0.55
간난고초	4	20	0.2
간난다사	9	20	0.45
간난신고	9	20	0.45
간납	9	20	0.45
간내	11	20	0.55
간녀	7	20	0.35
간년	5	20	0.25
간년경	6	20	0.3
간년작	9	20	0.45
간념	8	20	0.4
간농양	11	20	0.55
간뇌	8	20	0.4
간뇌도지	8	20	0.4
간능	7	20	0.35
간니	6	20	0.3
간다개	10	20	0.5
간단	9	20	0.45
간단관수	4	20	0.2
간단반응	11	20	0.55
간단복	5	20	0.25
간단제원준비	9	20	0.45
간단한가치형태	9	20	0.45
간담	6	20	0.3
간담회	7	20	0.35
간답	5	20	0.25
간당	6	20	0.3
간당틀	10	20	0.5
간대	8	20	0.4
간대성	8	20	0.4
간대토양	8	20	0.4
간대흙	9	20	0.45
간덩이	10	20	0.5
간도목	14	20	0.7
간도시보	11	20	0.55
간도제비꽃	7	20	0.35
간독	6	20	0.3
간동맥	12	20	0.6
간동태	10	20	0.5
간두렁	20	20	1
간두지세	7	20	0.35
간드리	7	20	0.35
간들개	6	20	0.3
간들바람	6	20	0.3
간등절	4	20	0.2
간디스토마병	7	20	0.35
간디스토마증	6	20	0.3
간디즘	20	20	1
간땡이	11	20	0.55
간락	12	20	0.6
간랍	7	20	0.35
간략	5	20	0.25
간략독본	10	20	0.5
간략조석계산법	9	20	0.45
간량	9	20	0.45
간련	8	20	0.4
간로	12	20	0.6
간론	4	20	0.2
간룡	8	20	0.4
간류	10	20	0.5
간릉	9	20	0.45
간막국	8	20	0.4
간막이유리	7	20	0.35
간막종이	8	20	0.4
간막지	8	20	0.4
간만	10	20	0.5
간만대	12	20	0.6
간망	9	20	0.45
간망군	8	20	0.4
간망인	6	20	0.3
