대중문화	0.52
대중적	0.5
대책	0.51
대출	0.52
대통령	1
대표	0.45
대표적	0.41
대학	0.42
대학교	0.5
대학교수	0.5
대학로	0.39
대학생	0.44
대학원	0.43
대한민국	0.5
대합실	0.43
대형	0.47
대화	0.48
대회	0.52
더위	0.59
덕분	0.5
덕수궁	0.6
덩어리	0.34
데이트	0
도구	0.46
도덕	0.45
도둑	1
도로	0.36
도마	0.4
도망	0.53
도서관	0.41
도시	0.51
도시락	1
도심	0.5
도움	0.47
도움말	0.47
도입	0.54
도자기	0.44
도장	0.48
도전	0.51
도중	0.45
도착	0.56
도쿄	1
독감	0.61
독립	1
독서	0.52
독일	0.55
독일어	0.33
독창적	0.46
돌멩이	0.49
동그라미	0.36
동기	0.41
동네	0.73
동대문	0.64
동대문시장	0.48
동료	1
동물	0.49
동물원	0.5
동부	0.5
동생	0.48
동서	0.51
동서남북	0.6
동시	0.47
동아리	0.37
동안	0.48
동양	0.36
동양인	0.42
동의	0.46
동작	0.45
동전	0.51
동쪽	0
동창	0.56
동포	0.52
동행	0.47
동화	0.52
동화책	0.45
돼지	0.49
돼지고기	0.47
된장	0.44
된장찌개	0.6
두께	1
두뇌	0
두려움	0.52
두부	0.47
두통	0.55
둥지	0.6
뒤쪽	0
뒤편	0.45
뒷골목	0.43
뒷모습	0.59
뒷문	0.5
뒷산	0.56
드라마	0.33
등록	1
등록금	0.44
등록증	0.56
등산	0.37
등산로	0.25
등장	0.46
디스크	0.32
디자이너	0.64
디자인	0.42
따님	1
딸기	0.48
딸아이	0.46
땅바닥	1
땅속	0.47
땅콩	0.44
떡국	0.52
떡볶이	0.51
뚜껑	1
뜻밖	0
라디오	0.43
라면	0.54
라운드	0.6
라이벌	0.53
라이터	0.31
라인	0.43
라켓	1
러시아	0.45
런던	1
레몬	1
레스토랑	1
레이저	0.29
레저	0.37
렌즈	1
로봇	1
로터리	0.28
리그	0.28
리듬	1
마누라	0.43
마늘	1
마당	0.56
마디	0.62
마라톤	1
마련	1
마루	1
마무리	0.4
마사지	0.45
마약	0.47
마요네즈	1
마을	1
마음	0.34
마음가짐	0.52
마음속	0.44
마음씨	0.3
마이크	0.34
마중	0.47
마지막	0.62
마찬가지	0.57
마찰	1
마크	0.36
막걸리	0.28
막내	0.43
만남	0.61
만두	0.53
만세	0.46
만약	0.53
만일	0.56
만점	0.48
만족	1
만화	0.52
만화가	0.42
말기	0.47
말씀	1
말투	0.49
망원경	0.42
맞은편	0.52
매너	0.52
매력	1
매스컴	0.6
매일	0.56
매장	0.41
매체	0.42
맥주	0.54
머리	0.31
머리말	0.41
머리카락	1
머리칼	0.48
머릿속	0.43
먹이	0.54
먼지	0.45
메뉴	0.42
메모	0.44
메시지	0.49
메일	0.46
며느리	0.37
며칠	0.37
면담	0.41
면적	0.47
면접	0.36
멸치	0.37
명단	0.61
명령	1
명령어	0.26
명예	0.54
명의	0.46
명절	0.46
명칭	0.46
명함	1
모기	0.59
모니터	0.28
모델	1
모두	0.46
모래	1
모레	0.23
모범	0.51
모습	0.57
모양	0.52
모임	0.47
모자	0.53
모집	0.47
모퉁이	0.47
목걸이	0.43
목록	1
목사	0.47
목소리	0.33
목숨	0
목요일	0.5
목욕	0.55
목욕탕	1
목적	0.48
목표	0.54
몸매	0.42
몸무게	0.57
몸살	0.43
몸속	0.54
몸짓	0
몸통	0.52
묘사	0.43
무게	0.52
무관심	0.47
무궁화	0.56
무기	0.44
무늬	1
무대	0.54
무더위	0.61
무덤	1
무료	1
무릎	1
무리	0.38
무역	0.51
무용	0.62
무용가	0.35
무지개	0.64
문구	0.42
문밖	0
문법	0.34
문서	0.55
문자	0.46
문장	0.49
문제	0.48
문제점	0.5
문학	0.44
문학적	0.39
문화	0.48
문화재	0.42
문화적	0.41
물가	0.42
물건	0.41
물결	0.4
물고기	0.51
물기	0.54
물론	1
물리학	0.51
물속	0.45
물음	0.49
물질	0.41
물질적	0.42
물체	0.36
미국	0.51
미니	1
미디어	0.28
미래	1
미만	0.43
미사일	0.48
미소	0.47
미술	0.5
미술관	0.34
미스	0.46
미역	0.5
미용실	0.49
미움	0.48
미인	0.5
미팅	1
미혼	0.52
민간	0.44
민속	0.51
민족	1
민주	0.49
민주주의	0.42
민주화	0.57
믿음	0.44
밀가루	1
밑바닥	1
바가지	0.53
바구니	1
바깥	1
바깥쪽	0
바나나	0.45
바늘	1
바다	0.53
바닥	1
바닷가	0.37
바닷물	0.45
바람	1
바보	0.5
바위	0.62
바이러스	0.42
바이올린	1
바지	0.58
바퀴	1
바탕	1
박물관	0.4
박사	0.49
박수	0.44
박스	0.54
반대	0.5
반대편	0.45
반말	0.41
반면	0.58
반발	0.52
반성	0.49
반응	1
반장	0.48
반죽	0.42
반지	0.51
반찬	0.53
받침	0.35
발가락	1
발걸음	0.48
발견	0.34
발길	0.54
발끝	0
발달	0.42
발등	0.46
발레	0.36
발목	0.45
발바닥	1
발생	0.53
발음	0.45
발자국	0.52
발전	0.54
발톱	1
발표	0.5
밤낮	0
밤새	0.56
밤색	0.45
밤중	0.52
밤하늘	1
밥그릇	1
밥맛	0
밥상	0.46
밥솥	1
방면	0.49
방문	0.68
방바닥	1
방법	0.39
방송	0.42
방송국	0.55
방송사	0.34
방식	0.49
방안	0.56
방울	0.61
방지	0.57
방학	0.49
방해	0.49
방향	0.46
배경	0.42
배구	0.37
배꼽	1
배달	0.36
배드민턴	1
배우	0.43
배우자	0.39
배추	0.36
배추김치	0.39
배치	0.45
백두산	0.45
백색	0.43
백성	0.56
백인	0.43
백제	0.5
백화점	0.44
뱃사람	1
버릇	1
버섯	1
버스	0.46
버터	0.29
버튼	1
번개	0.55
번역	0.53
번지	0.56
번호	0.41
벌금	0.42
벌레	0.23
범위	0.57
범인	0.48
범죄	0.54
법률	1
법원	0.45
법적	0.38
법칙	1
베개	0.62
베이징	1
벤치	0.41
벨트	0
