사용단어	단어승률
반지	0.909
반찬	1
받침	0.679
발가락	1
발걸음	0.833
발견	1
발길	1
발끝	1
발달	0.499
발등	0.793
발레	0.462
발목	0.685
발바닥	1
발생	0.877
발음	0.833
발자국	0.944
발전	0.924
발톱	1
발표	0.933
밤낮	1
밤새	0.588
밤색	0.513
밤중	0.865
밤하늘	1
밥그릇	1
밥맛	1
밥상	0.838
밥솥	1
방면	0.931
방문	0.918
방바닥	1
방법	0.498
방송	0.932
방송국	0.956
방송사	0.742
방식	0.788
방안	0.793
방울	1
방지	0.897
방학	0.786
방해	0.953
방향	1
배경	0.752
배구	0.839
배꼽	1
배달	0.527
배드민턴	1
배우	0.885
배우자	0.813
배추	0.69
배추김치	0.695
배치	0.696
백두산	0.905
백색	0.47
백성	0.814
백인	0.824
백제	0.986
백화점	0.804
뱃사람	1
버릇	1
버섯	1
버스	0.83
버터	0
버튼	1
번개	0.996
번역	1
번지	0.891
번호	0.777
벌금	0.856
벌레	0.482
범위	0.734
범인	0.853
범죄	1
법률	1
법원	0.867
법적	0.752
법칙	1
베개	0.989
베이징	1
벤치	0.689
벨트	0
변경	0.725
변동	0.882
변명	0.765
변신	0.907
변호사	0.799
변화	0.965
별도	0.821
별명	0.756
별일	0.944
병실	0.788
병아리	0.534
병원	0.854
보고	0.786
보고서	0.803
보관	0.695
보너스	0.836
보도	0.853
보라색	0.508
보람	1
보름	1
보리	0.505
보상	0.858
보수	0.912
보수적	0.751
보안	0.81
보자기	0.868
보장	0.778
보전	0.92
보조	0.859
보존	1
보통	0.956
보편적	0.764
보험	1
보호	0.78
복도	0.827
복사	0.774
복사기	0.857
복숭아	0.588
복습	1
볶음	0.833
볶음밥	0.242
본격적	0.74
본래	1
본부	0.887
본사	0.793
본성	0.819
본인	0.818
본질	0.974
볼링	1
볼일	0.927
볼펜	1
봉사	0.776
봉지	0.899
봉투	1
부근	0.893
부끄러움	0.903
부담	0.964
부대	0.876
부동산	0.907
부모	0.814
부모님	1
부문	0.902
부부	0.877
부분	0.827
부분적	0.782
부산	0.892
부상	0.85
부서	0.8
부엌	1
부위	0.736
부인	0.84
부자	0.841
부작용	0.807
부잣집	1
부장	0.781
부재	0.754
부정	0.982
부정적	0.767
부족	1
부채	0.691
부처	0.799
부친	0.742
부탁	1
부품	1
부피	0.875
부회장	0.772
북부	0.884
북쪽	1
북한	0.768
분노	0.803
분량	1
분리	0.502
분석	1
분야	1
분위기	0.86
분필	0.875
분홍색	0.483
불고기	0.855
불교	0.953
불꽃	0.527
불만	0.893
불법	0.512
불빛	0
불안	0.813
불이익	1
불편	0.98
불평	0.988
불행	0.997
브랜드	1
블라우스	0.859
비교	0.944
비극	1
비난	1
비누	1
비닐	1
비닐봉지	0.891
비둘기	0.83
비디오	0.786
비만	0.881
비명	0.755
비밀	0
비바람	1
비빔밥	0.241
비상	0.842
비서	0.782
비용	0.817
비율	1
비중	0.857
비타민	0.843
비판	1
비판적	0.739
비행	0.996
비행기	0.856
비행장	0.783
빌딩	1
빗물	0.907
빗방울	1
빗줄기	0.84
빛깔	1
빨간색	0.488
빨래	1
뿌리	0.501
사건	0.926
사계절	0.949
사고	0.805
사과	0.996
사기	0.876
사나이	0.861
사냥	1
사람	1
사랑	1
사례	1
사립	1
사망	1
사모님	1
사무	0.721
사무소	0.896
사무실	0.794
사무직	0.977
사물	0.919
사방	0.893
사상	0.84
사생활	0.935
사설	0.741
사슴	1
사실	0.816
사업	1
사업가	0.754
사업자	0.841
사용	0.787
사용자	0.82
사원	0.872
사월	0.499
사위	0.733
사이	0.857
사이사이	0.862
사자	0.831
사장	0.784
사전	0.939
사정	0.985
사진	0.732
사진기	0.856
사촌	1
사춘기	0.85
사탕	1
사투리	0.525
사표	0.934
사회	0.996
사회생활	0.937
사회자	0.846
사회적	0.751
사회주의	0.929
사회학	0.777
사흘	1
산길	1
산부인과	0.995
산소	0.875
산속	0.957
산업	1
산책	0.99
살림	1
살인	0.849
삼계탕	1
삼국	0.948
삼월	0.481
삼촌	1
상관	0.696
상금	0.868
상담	0.964
상당	1
상당수	0.892
상대	0.875
상대방	0.908
상대성	0.825
상대적	0.752
상대편	0.99
상류	1
상반기	0.836
상상	0.835
상상력	1
상식	0.775
상업	1
상인	0.838
상자	0.83
상점	0.823
상징적	0.761
상처	0.747
상추	0.666
상태	1
상표	0.938
상품	1
상황	1
새끼	1
새벽	1
새소리	0.52
새우	0.884
새해	0.954
색깔	1
색연필	0.86
샌드위치	0.679
생각	0.981
생기	0.857
생명	0.733
생물	0.896
생방송	0.927
생산	0.907
생산력	1
생산자	0.819
생선	0.895
생신	0.906
생일	0.939
생활	0.927
생활비	0.876
생활수준	1
생활용품	1
생활환경	0.711
샤워	1
서구	0.855
서랍	1
서로	0.49
서류	1
서명	0.751
서민	0.815
서부	0.856
서비스	0.848
서양	0.772
서양인	0.829
서울	1
서울역	1
서적	0.757
서점	0.776
서쪽	1
서클	0.502
석사	0.766
석유	0.93
선거	0.755
선물	0.907
선배	0.814
선생	0.904
선생님	1
선수	0.885
선원	0.844
선장	0.761
선전	0.933
선진	0.731
선진국	0.956
선택	1
선풍기	0.869
설거지	0.889
설날	1
설렁탕	1
설명	0.741
설문	0.921
설악산	0.911
설치	0.669
설탕	1
섭씨	0
성격	1
성경	0.74
성공	0.917
성공적	0.738
성당	1
성명	0.78
성별	1
성인	0.837
성장	0.763
성적	0.762
성질	0.962
성함	1
세계	0.664
세계관	0.676
세계적	0.753
세금	0.847
세기	0.848
세대	0.89
세로	0.474
세미나	0.839
세상	0.831
세수	0.893
세월	0.524
세제	0.987
세종대왕	1
세탁	1
세탁기	0.856
세탁소	0.893
세트	0
센터	0
소개	0.997
소규모	0.8
소극적	0.757
소금	0.85
소나기	0.856
소나무	0.744
소녀	1
소년	1
소득	1
소리	0.506
소망	1
소매	0.622
소문	0.919
소비	0.84
소비자	0.85
소설	0.754
소설가	0.775
소속	0.949
소수	0.913
소스	0.837
소시지	0.892
소식	0.801
소아과	0.994
소용	0.803
소원	0.862
소유	0.911
소유자	0.822
소음	0.818
소재	0.744
소주	0.919
소지품	1
소질	0.959
소파	1
소포	0.864
소풍	0.942
소프트웨어	0.585
소형	0.875
소화	0.974
속담	0.95
속도	0.828
속마음	0.815
속옷	0
손가락	1
손길	1
손녀	1
손님	1
손등	0.81
손목	0.685
손바닥	1
손발	0.753
손뼉	1
손수건	0.924
손실	0.791
손자	0.837
손잡이	0.881
손질	0.958
손톱	1
손해	0.963
솜씨	0
송아지	0.917
송이	0.862
송편	0.985
쇠고기	0.846
쇼핑	1
수건	0.944
수고	0.789
수년	1
수단	0.866
수도	0.831
수도권	0.95
수도꼭지	0.911
수돗물	0.902
수동적	0.759
수면	0.94
수명	0.725
수박	1
수상	0.845
수석	1
수술	0.915
수업	1
수염	0
수영	0.84
수영장	0.783
수요	0.862
수요일	0.939
수입	0.824
수입품	1
수저	0.721
수준	1
수집	1
수출	0.99
수컷	1
수표	0.939
수필	0.876
수학	0.796
수험생	0.886
수화기	0.854
숙녀	1
숙소	0.897
숙제	0.975
순간	0.796
순간적	0.747
순서	0.812
순수	0.899
순식간	0.803
순위	0.764
숟가락	1
술병	1
술자리	0.487
술잔	0.685
술집	1
숫자	0.816
슈퍼마켓	1
스님	1
스스로	0.473
스승	0.946
스웨터	0
스위치	0.67
스케이트	0
스케줄	0.669
스키	1
스키장	0.778
스타	0.663
스타일	0.934
스튜디오	0.794
스트레스	0.824
스포츠	1
슬픔	1
습관	0.668
습기	0.856
승객	1
승리	0.509
승부	0.882
승용차	0.635
승진	0.755
시각	0.986
시간	0.798
시계	0.68
시골	0.982
시금치	0.669
시기	0.865
시나리오	0.765
시내	0.756
시내버스	0.842
시대	0.876
시대적	0.761
시댁	1
시도	0.817
시디	0.937
시디롬	1
시리즈	1
시멘트	0
시민	0.848
시부모	0.825
시선	0.922
시설	0.756
시스템	1
시아버지	0.889
시야	1
시어머니	1
시외	0.801
시외버스	0.852
시월	0.478
시위	0.714
시인	0.847
시일	0.937
시작	0.593
시장	0.77
시절	0.96
시점	0.779
시중	0.871
시즌	1
시집	1
시청	0.499
시청률	1
시청자	0.853
시합	0.469
시험	1
식구	0.826
식기	0.832
식당	1
식량	1
식료품	1
식물	0.917
식빵	1
식사	0.768
식생활	0.941
식욕	1
식용유	0.928
식초	0.828
식탁	1
식품	1
식품점	0.795
신경	0.761
신고	0.801
신규	0.726
신념	1
신라	0.764
신랑	1
신문	0.923
신문사	0.786
신문지	0.911
신발	0.741
신부	0.869
신분	0.834
신비	0.853
신사	0.77
신설	0.747
신세	0.982
신세대	0.865
신용	0.808
신인	0.836
신입생	0.87
신제품	1
신청	0.494
신청서	0.795
신체	0.75
신체적	0.731
신호	0.755
신호등	0.787
신혼부부	0.86
신혼여행	0.997
신화	0.955
실감	0.989
실내	0.779
실력	1
실례	1
실망	1
실수	0.898
